"","imdb_id","title","genres","release_date","release_year","release_month","country","production_companies","budget","revenue","duration","actors","director","main_country"
"5",113041,"Father of the Bride Part II (1995)","Comedy",1995-12-08,"1995","12","United States","Touchstone Pictures;Sandollar Productions;Taylor-Made Productions",3e+07,11134978,106,"Steve Martin;Diane Keaton;Martin Short;Kimberly Williams-Paisley;George Newbern;Kieran Culkin;BD Wong;Peter Michael Goetz;Kate McGregor-Stewart;Jane Adams;Eugene Levy;Rebecca Chambers;April Ortiz;Dulcy Rogers;Kathy Anthony;Adrian Canzoneri;Lori Alan;Stephanie Miller","Charles Shyer","United States"
"11",113987,"Nixon (1995)","Drama",1996-01-05,"1996","1","United States","Hollywood Pictures;Illusion Entertainment;Cinergi Pictures Entertainment",4.4e+07,2206506,192,"Anthony Hopkins;Joan Allen;Powers Boothe;Ed Harris;Bob Hoskins;E.G. Marshall;David Paymer;David Hyde Pierce;Paul Sorvino;Mary Steenburgen;J.T. Walsh;James Woods;Brian Bedford;Kevin Dunn;Fyvush Finkel;Annabeth Gish;Tom Bower;Tony Goldwyn","Oliver Stone","United States"
"15",112281,"Ace Ventura: When Nature Calls (1995)","Comedy",1995-11-10,"1995","11","United States","Morgan Creek Entertainment;Morgan Creek Productions;O Entertainment",3e+07,37804076,90,"Jim Carrey;Ian McNeice;Simon Callow;Maynard Eziashi;Bob Gunton;Sophie Okonedo;Tommy Davidson;Adewale Akinnuoye-Agbaje;Danny Daniels;Sam Phillips;Damon Standifer;Andrew Steel;Bruce Spence;Tom Grunke;Arsenio 'Sonny' Trinidad;Kristin Norton;Michael Reid MacKay;Kayla Allen","Steve Oedekerk","United States"
"22",114057,"Othello (1995)","Drama",1996-01-19,"1996","1","United StatesUnited Kingdom","Castle Rock Entertainment;Dakota Films;Imminent Film Productions",1.1e+07,29097,123,"Laurence Fishburne;Kenneth Branagh;Irène Jacob;Nathaniel Parker;Michael Maloney;Anna Patrick;Nicholas Farrell;Indra Ové;Michael Sheen;André Oumansky;Philip Locke;John Savident;Gabriele Ferzetti;Pierre Vaneck;Luca Guardabascio","Oliver Parker","United States"
"24",112792,"Dangerous Minds (1995)","Drama",1995-08-11,"1995","8","United States","Hollywood Pictures;Don Simpson/Jerry Bruckheimer Films;Via Rosa Productions",2.3e+07,14931503,99,"Michelle Pfeiffer;George Dzundza;Courtney B. Vance;Robin Bartlett;Beatrice Winde;John Neville;Lorraine Toussaint;Renoly Santiago;Wade Dominguez;Bruklin Harris;Marcello Thedford;Roberto Alvarez;Richard Grant;Marisela Gonzales;Toni Nichelle Buzhardt;Norris Young;Rahman Ibraheem;Desire Galvez","John N. Smith","United States"
"30",114272,"Restoration (1995)","Drama",1996-02-02,"1996","2","United StatesUnited Kingdom","Avenue Pictures;Miramax;Segue Productions",1.9e+07,75514,117,"Robert Downey Jr.;Sam Neill;David Thewlis;Polly Walker;Meg Ryan;Ian McKellen;Hugh Grant;Ian McDiarmid;Mary MacLeod;Mark Letheren;Sandy McDade;Rosalind Bennett;Willie Ross;David Gant;Benjamin Whitrow;Neville Watchurst;Bryan Pringle;Roy Evans","Michael Hoffman","United States"
"38",113321,"Home for the Holidays (1995)","Drama",1995-11-03,"1995","11","United States","Paramount Pictures;Polygram Filmed Entertainment;Egg Pictures",2e+07,4007717,103,"Holly Hunter;Anne Bancroft;Robert Downey Jr.;Charles Durning;Dylan McDermott;Geraldine Chaplin;Steve Guttenberg;Cynthia Stevenson;Claire Danes;Emily Ann Lloyd;Zack Duhame;Austin Pendleton;David Strathairn;Amy Yasbeck;James Lecesne;Angela Paton;Randy Stone;Sam Slovick","Jodie Foster","United States"
"42",113862,"Mr. Holland's Opus (1995)","Drama",1996-01-19,"1996","1","United States","Hollywood Pictures;Interscope Communications;Polygram Filmed Entertainment",2.3e+07,14466,143,"Richard Dreyfuss;Glenne Headly;Jay Thomas;Olympia Dukakis;William H. Macy;Alicia Witt;Terrence Howard;Damon Whitaker;Jean Louisa Kelly;Alexandra Boyd;Nicholas John Renner;Joseph Anderson;Anthony Natale;Joanna Gleason;Beth Maitland;Patrick Fong;Benjamin J. Dixon;Kathryn Arnett","Stephen Herek","United States"
"44",115683,"Bio-Dome (1996)","Comedy",1996-01-12,"1996","1","United States","Metro-Goldwyn-Mayer (MGM);Motion Picture Corporation of America (MPCA);3 Arts Entertainment",1.5e+07,4999979,88,"Pauly Shore;Stephen Baldwin;William Atherton;Denise Dowse;Dara Tomanovich;Kevin West;Kylie Minogue;Joey Lauren Adams;Teresa Hill;Patricia Hearst;Robbie Thibaut Jr.;Adam Weisman;Henry Gibson;Brian Hayes Currie;Courtney Mizel;Butch McCain;Taylor Negron;Roger Clinton","Jason Bloom","United States"
"46",113118,"Friday (1995)","Comedy",1995-04-26,"1995","4","United States","New Line Cinema;Priority Films (I)",3500000,6589341,91,"Ice Cube;Chris Tucker;Nia Long;Tom Lister Jr.;John Witherspoon;Anna Maria Horsford;Regina King;Paula Jai Parker;Faizon Love;DJ Pooh;Angela Means;Vickilyn Reynolds;Ronn Riser;Kathleen Bradley;Tony Cox;Anthony Johnson;Demetrius Navarro;Jason Bose Smith","F. Gary Gray","United States"
